card_folder,copy_folder,sequence,original_filename,archive_filename,bytes,sha256
Dratini_2-20_Dragon_Vault,Copy_1,1,D5143D19-A919-4F4E-A6EB-50B49DEDAAAB.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/01_D5143D19-A919-4F4E-A6EB-50B49DEDAAAB.jpeg,403622,22ebf9aea1f3f4a86f52134b125fde6e17c2a112d1f6f53de11345af637ceb18
Dratini_2-20_Dragon_Vault,Copy_1,2,7838DFB4-1C18-4912-A0F0-A3773B91033D.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/02_7838DFB4-1C18-4912-A0F0-A3773B91033D.jpeg,380370,cd3f6c2faae58ac0846ab7e61ebc2c688ce5b925df08e9206f9070bc6c4db4eb
Dratini_2-20_Dragon_Vault,Copy_1,3,1075E8FE-06DD-4CC1-94CC-B692C0930709.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/03_1075E8FE-06DD-4CC1-94CC-B692C0930709.jpeg,439427,12ef7e11be2e09739e67924b0a31162a748a586eaa479696cd593c8b2ee958e0
Dratini_2-20_Dragon_Vault,Copy_1,4,AE1046C0-7C9D-47F8-92FE-8FF6D14BF434.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/04_AE1046C0-7C9D-47F8-92FE-8FF6D14BF434.jpeg,424885,83c2021d66a8e32774ecfaa9e0caa13410ecf4930f9a22e525a8483dca963d00
Dratini_2-20_Dragon_Vault,Copy_1,5,A7CD965D-909F-4CEA-B4B3-2FC5261FB03E.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/05_A7CD965D-909F-4CEA-B4B3-2FC5261FB03E.jpeg,521297,cedbbc296a4c176284cebae7facb3268f675eabaaac16868684f54f7f6e5643b
Dratini_2-20_Dragon_Vault,Copy_1,6,4750CCA9-C325-4405-B11C-5CE370A1DCE4.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/06_4750CCA9-C325-4405-B11C-5CE370A1DCE4.jpeg,470085,d1805119d1150c78b36c814d976a6381de72e18e8affdd65520a8ae10de1813f
Dratini_2-20_Dragon_Vault,Copy_1,7,CF4BD35F-B026-416A-A602-DA2DBE89AF93.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/07_CF4BD35F-B026-416A-A602-DA2DBE89AF93.jpeg,463411,1faf5c3671540ffef615252a8b7c0208deddd6b75965f3591fabd341a404341d
Dratini_2-20_Dragon_Vault,Copy_1,8,C3CE19BE-24DE-451A-8F02-34AF74EF13FE.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/08_C3CE19BE-24DE-451A-8F02-34AF74EF13FE.jpeg,580977,1a2319228a4ffb66fb924f5701c22dcf6c3026324b3dc93c2027bc96c5b82254
Dratini_2-20_Dragon_Vault,Copy_1,9,DBEEFB47-58E3-4A0C-A7D0-B6940845A6F9.jpeg,Dratini_2-20_Dragon_Vault/Copy_1/09_DBEEFB47-58E3-4A0C-A7D0-B6940845A6F9.jpeg,274052,9274d7b3fc1f5c9b09c8e203d4046e90764f221cf71ce290751005f64db4ad35
Dratini_2-20_Dragon_Vault,Copy_2,1,CECCF30E-9229-42CA-A193-729627F2F2B6.jpeg,Dratini_2-20_Dragon_Vault/Copy_2/01_CECCF30E-9229-42CA-A193-729627F2F2B6.jpeg,529541,522ee3f009b5646c873e9904709c0f7fe92e5b294c23b6823d7505bec03c60c7
Dratini_2-20_Dragon_Vault,Copy_2,2,F425BAEE-F15C-4134-9CEF-E76F13408A17.jpeg,Dratini_2-20_Dragon_Vault/Copy_2/02_F425BAEE-F15C-4134-9CEF-E76F13408A17.jpeg,456463,cb2510beee309ca93b8a3c499e7c654c7bc2e024ec3793ff17a23a9def477515
